01459|LJSpeech|ɹᵻlˈæps wʌz ɹˈæpɪd ænd ɪnˈɛvᵻɾəbəl, sˌoʊ ðætðə lˈæɾɚ stˈeɪt ʌvðə pɹˈɪzən wʌz wˈɜːs ðɐn ðə fˈɜːst.|ɹᵻlˈæps wʌz ɹˈæpɪd ænd ɪnˈɛvᵻɾəbəl, sˌoʊ ðætðə lˈæɾɚ stˈeɪt ʌvðə pɹˈɪzən wʌz wˈɜːs ðɐn ðə fˈɜːst.
00131|LJSpeech|hˈɪɹ, ɐɡˈɛn, ɪf ðə pɹˈæktɪs ʌv "lˈiːdɪŋ" wɜː ɹᵻtɹˈɛntʃt lˈɑːɹdʒɚ tˈaɪp kʊd biː jˈuːzd wɪðˌaʊt ɛnhˈænsɪŋ ðə pɹˈaɪs əvə bˈʊk.|hˈɪɹ, ɐɡˈɛn, ɪf ðə pɹˈæktɪs ʌv "lˈiːdɪŋ" wɜː ɹᵻtɹˈɛntʃt lˈɑːɹdʒɚ tˈaɪp kʊd biː jˈuːzd wɪðˌaʊt ɛnhˈænsɪŋ ðə pɹˈaɪs əvə bˈʊk.
01541|LJSpeech|ðə pɹˈɪzənɚɹ əfˈɪʃəl ɔːlɹˌɛdi mˈɛnʃənd, hˌuː hˈɛld ðə fˈeɪt ʌv nˈuː ɚɹˈaɪvəlz æz ɹᵻɡˈɑːɹdz loʊkˈeɪʃən ɪn hɪz hˈændz.|ðə pɹˈɪzənɚɹ əfˈɪʃəl ɔːlɹˌɛdi mˈɛnʃənd, hˌuː hˈɛld ðə fˈeɪt ʌv nˈuː ɚɹˈaɪvəlz æz ɹᵻɡˈɑːɹdz loʊkˈeɪʃən ɪn hɪz hˈændz.
01964|LJSpeech|bˈoʊθ əfˈɛnsᵻz ænd pˈʌnɪʃmənts ɐfˈoːɹdɪŋ ɐ səfˈɪʃənt ˈɪndɛks tə ðə pɹˈæktɪsᵻz ɡˌoʊɪŋ fˈɔːɹwɚd; ænd ðeɪ wˈaɪnd ˈʌp baɪ dᵻklˈɛɹɪŋ|bˈoʊθ əfˈɛnsᵻz ænd pˈʌnɪʃmənts ɐfˈoːɹdɪŋ ɐ səfˈɪʃənt ˈɪndɛks tə ðə pɹˈæktɪsᵻz ɡˌoʊɪŋ fˈɔːɹwɚd; ænd ðeɪ wˈaɪnd ˈʌp baɪ dᵻklˈɛɹɪŋ
01163|LJSpeech|ðə mˈɛθəd baɪ wˌɪtʃ ðeɪ wɜː wˈɜːkt, ænd ðə dˈaɪətɚɹiz ʌvðə pɹˈɪzənɚz ɛmplˈɔɪd əpˌɑːn ðˌɛm.|ðə mˈɛθəd baɪ wˌɪtʃ ðeɪ wɜː wˈɜːkt, ænd ðə dˈaɪətɚɹiz ʌvðə pɹˈɪzənɚz ɛmplˈɔɪd əpˌɑːn ðˌɛm.
00677|LJSpeech|tˈeɪlɚɹɪŋ ænd ʃˈuːmeɪkɪŋ wʌz pɚmˈɪɾᵻd, bˌʌt ɪt wʌz dˈiːmd ʌnsˈeɪf tʊ ɐlˈaʊ ɐ kˈɑːɹpəntɚ ɔːɹ blˈæksmɪθ tə hæv hɪz tˈuːlz.|tˈeɪlɚɹɪŋ ænd ʃˈuːmeɪkɪŋ wʌz pɚmˈɪɾᵻd, bˌʌt ɪt wʌz dˈiːmd ʌnsˈeɪf tʊ ɐlˈaʊ ɐ kˈɑːɹpəntɚ ɔːɹ blˈæksmɪθ tə hæv hɪz tˈuːlz.
00293|LJSpeech|wˈɑːtʃ ˈɔːl nˈaɪt. ɐdʒˈɔɪnɪŋ ðə fˈɛlənz sˈaɪd lˈɑːdʒ ɪz ðə kˈiːpɚz ˈɑːfɪs, wˌɛɹ ðə pɹˈɪzən bˈʊks ɑːɹ kˈɛpt, ænd hɪz klˈɜːk,|wˈɑːtʃ ˈɔːl nˈaɪt. ɐdʒˈɔɪnɪŋ ðə fˈɛlənz sˈaɪd lˈɑːdʒ ɪz ðə kˈiːpɚz ˈɑːfɪs, wˌɛɹ ðə pɹˈɪzən bˈʊks ɑːɹ kˈɛpt, ænd hɪz klˈɜːk,
00730|LJSpeech|ɐ nˈʌmbɚɹ ʌv ˈæmətʃɚz wɜːɹ ˈɛvɚ ɹˈɛdi tə ɡˈɪv ðɛɹ ɡɹætˈuːɪɾəs mˌɪnɪstɹˈeɪʃənz tə ðə kəndˈɛmd.|ɐ nˈʌmbɚɹ ʌv ˈæmətʃɚz wɜːɹ ˈɛvɚ ɹˈɛdi tə ɡˈɪv ðɛɹ ɡɹætˈuːɪɾəs mˌɪnɪstɹˈeɪʃənz tə ðə kəndˈɛmd.
00806|LJSpeech|ðeɪ ʃˌʊd ɡˈæmbəl wɪð dˈaɪs ɔːɹ kˈɑːɹdz, ænd plˈeɪ æt bˈʌmbəl pˈʌpi ɔːɹ sˌʌm ˈʌðɚ dˌɪsɹˈɛpjuːɾəbəl ɡˈeɪm ʌv tʃˈæns.|ðeɪ ʃˌʊd ɡˈæmbəl wɪð dˈaɪs ɔːɹ kˈɑːɹdz, ænd plˈeɪ æt bˈʌmbəl pˈʌpi ɔːɹ sˌʌm ˈʌðɚ dˌɪsɹˈɛpjuːɾəbəl ɡˈeɪm ʌv tʃˈæns.
02158|LJSpeech|æt kˈɜːvɔɪziɚz ˌɛksɪkjˈuːʃən ɪn ˈeɪtiːn fˈɔːɹɾi ɪt wʌzðə sˈeɪm, ɔːɹ wˈɜːs.|æt kˈɜːvɔɪziɚz ˌɛksɪkjˈuːʃən ɪn ˈeɪtiːn fˈɔːɹɾi ɪt wʌzðə sˈeɪm, ɔːɹ wˈɜːs.
01412|LJSpeech|ɪt wʌz fɹˈiːkwəntli stˈeɪɾᵻd ɪn ˈɛvɪdəns ðætðə dʒˈeɪl ʌvðə bˈʌɹoʊ wʌz ɪn sˌoʊ ʌnfˈɪt ɐ stˈeɪt fɚðə ɹᵻsˈɛpʃən ʌv pɹˈɪzənɚz,|ɪt wʌz fɹˈiːkwəntli stˈeɪɾᵻd ɪn ˈɛvɪdəns ðætðə dʒˈeɪl ʌvðə bˈʌɹoʊ wʌz ɪn sˌoʊ ʌnfˈɪt ɐ stˈeɪt fɚðə ɹᵻsˈɛpʃən ʌv pɹˈɪzənɚz,
00690|LJSpeech|tˈɛn ænd sˈɪkspəns ɐ wˈiːk mˈoːɹ wʌz tʃˈɑːɹdʒd æz ɹˈɛnt fɚɹə sˈɪŋɡəl bˈɛd; wˌɛɹ tˈuː ɔːɹ mˈoːɹ slˈɛpt ɪn ɐ bˈɛd ðə ɹˈɛnt wʌz sˈɛvən ʃˈɪlɪŋz ɐ wˈiːk ˈiːtʃ.|tˈɛn ænd sˈɪkspəns ɐ wˈiːk mˈoːɹ wʌz tʃˈɑːɹdʒd æz ɹˈɛnt fɚɹə sˈɪŋɡəl bˈɛd; wˌɛɹ tˈuː ɔːɹ mˈoːɹ slˈɛpt ɪn ɐ bˈɛd ðə ɹˈɛnt wʌz sˈɛvən ʃˈɪlɪŋz ɐ wˈiːk ˈiːtʃ.
00816|LJSpeech|ðə kəmˈɪɾi sˈiːmz tə hæv fˈʊli ɹˈiːəlaɪzd, ˈiːvən æt ðɪs ˈɜːli dˈeɪt ˈeɪtiːn fˈɪftiːn,|ðə kəmˈɪɾi sˈiːmz tə hæv fˈʊli ɹˈiːəlaɪzd, ˈiːvən æt ðɪs ˈɜːli dˈeɪt ˈeɪtiːn fˈɪftiːn,
00651|LJSpeech|ɐ tˈeɪst fɔːɹ spˈɪɹɪts. ˈɛnd kwˈoʊt.|ɐ tˈeɪst fɔːɹ spˈɪɹɪts. ˈɛnd kwˈoʊt.
00729|LJSpeech|fɔːɹ wˌaɪl ɹˈoʊmən kˈæθlɪks ænd dɪsˈɛntɚz wɜːɹ ɛŋkˈɜːɹɪdʒd tə sˈiː mˈɪnɪstɚz ʌv ðɛɹ ˈoʊn pɚswˈeɪʒən,|fɔːɹ wˌaɪl ɹˈoʊmən kˈæθlɪks ænd dɪsˈɛntɚz wɜːɹ ɛŋkˈɜːɹɪdʒd tə sˈiː mˈɪnɪstɚz ʌv ðɛɹ ˈoʊn pɚswˈeɪʒən,
00920|LJSpeech|mˈɪstɚ bˈʌkstən hæd ɔːlɹˌɛdi bˌɪn ɐsˈoʊsɪˌeɪɾᵻd wɪð mɪsˈɛs fɹˈaɪ ɪnðə nˈuːɡeɪt vˌɪzɪtˈeɪʃən, ænd hɪz ɐtˈɛnʃən hæd ðˈʌs bˌɪn dɹˈɔːn tə ðə nᵻɡlˈɛktᵻd stˈeɪt ʌv ˈɪŋɡlɪʃ pɹˈɪzənz.|mˈɪstɚ bˈʌkstən hæd ɔːlɹˌɛdi bˌɪn ɐsˈoʊsɪˌeɪɾᵻd wɪð mɪsˈɛs fɹˈaɪ ɪnðə nˈuːɡeɪt vˌɪzɪtˈeɪʃən, ænd hɪz ɐtˈɛnʃən hæd ðˈʌs bˌɪn dɹˈɔːn tə ðə nᵻɡlˈɛktᵻd stˈeɪt ʌv ˈɪŋɡlɪʃ pɹˈɪzənz.
01486|LJSpeech|kənsˈaɪn mˈɛnɪəv ðə mˈoːɹ pˈɛɾi ænd ʌnpɹˈæktɪst əfˈɛndɚz tə ðɪs plˈeɪs,|kənsˈaɪn mˈɛnɪəv ðə mˈoːɹ pˈɛɾi ænd ʌnpɹˈæktɪst əfˈɛndɚz tə ðɪs plˈeɪs,
01594|LJSpeech|ænd ɪt wʌz nˌɑːt ðə lˈiːst pˈɑːɹt ʌvðə blˈeɪm ɪmpjˈuːɾᵻd tə hˌɪm ðæt hiː mˌeɪd spˈɛʃəl fˈeɪvɚɹᵻts ʌv pɚtˈɪkjʊlɚ pɹˈɪzənɚz, ɹᵻtˈeɪnɪŋ ʌv hɪz ˈoʊn ɐkˈoːɹd ɪn nˈuːɡeɪt,|ænd ɪt wʌz nˌɑːt ðə lˈiːst pˈɑːɹt ʌvðə blˈeɪm ɪmpjˈuːɾᵻd tə hˌɪm ðæt hiː mˌeɪd spˈɛʃəl fˈeɪvɚɹᵻts ʌv pɚtˈɪkjʊlɚ pɹˈɪzənɚz, ɹᵻtˈeɪnɪŋ ʌv hɪz ˈoʊn ɐkˈoːɹd ɪn nˈuːɡeɪt,
01343|LJSpeech|ɪn ˈeɪtiːn twˈɛntisˈɛvən ðə səsˈaɪəɾi wʌz kəmpˈɛld tə ɹᵻpˈoːɹt ðˈæt "nˈoʊ mətˈɪɹiəl tʃˈeɪndʒ hæd tˈeɪkən plˈeɪs ɪn nˈuːɡeɪt sˈɪns ðə pˈæsɪŋ ʌvðə pɹˈɪzən lˈɔːz,|ɪn ˈeɪtiːn twˈɛntisˈɛvən ðə səsˈaɪəɾi wʌz kəmpˈɛld tə ɹᵻpˈoːɹt ðˈæt "nˈoʊ mətˈɪɹiəl tʃˈeɪndʒ hæd tˈeɪkən plˈeɪs ɪn nˈuːɡeɪt sˈɪns ðə pˈæsɪŋ ʌvðə pɹˈɪzən lˈɔːz,
01835|LJSpeech|ðə ɹˈɛst wɜː dɪtˈeɪnd fɔːɹ mˈoːɹ ðˌænə mˈʌnθ, ɪt bˌiːɪŋ kənsˈɪdɚd ðæt ðeɪ wɜː ðə mˈoʊst ɡˈɪlti, æz bˌiːɪŋ ˈiːðɚ pɹəfˈɛʃənəl ˈeɪdʒənts, hˌuː ɐdvˈaɪzd ðɪ ˈʌðɚz tʊ ɐbskˈɑːnd,|ðə ɹˈɛst wɜː dɪtˈeɪnd fɔːɹ mˈoːɹ ðˌænə mˈʌnθ, ɪt bˌiːɪŋ kənsˈɪdɚd ðæt ðeɪ wɜː ðə mˈoʊst ɡˈɪlti, æz bˌiːɪŋ ˈiːðɚ pɹəfˈɛʃənəl ˈeɪdʒənts, hˌuː ɐdvˈaɪzd ðɪ ˈʌðɚz tʊ ɐbskˈɑːnd,
00581|LJSpeech|ðə slˈiːpɪŋ ɐkˌɑːmədˈeɪʃən ɪnðə tʃˈæpəljˈɑːɹd wˈɔːɹdz, ænd ˌɪndˈiːd θɹuːˈaʊt ðə pɹˈɪzən, kənsˈɪstᵻd əvə bˈɛɹək bˈɛd,|ðə slˈiːpɪŋ ɐkˌɑːmədˈeɪʃən ɪnðə tʃˈæpəljˈɑːɹd wˈɔːɹdz, ænd ˌɪndˈiːd θɹuːˈaʊt ðə pɹˈɪzən, kənsˈɪstᵻd əvə bˈɛɹək bˈɛd,
01910|LJSpeech|dʒˈʌstᵻfˌaɪd ðɪ ɚɹˈɪdʒɪnəl ˌælɪɡˈeɪʃənz. ɪt wʌz ɪmpˈɑːsᵻbəl tə dᵻnˈaɪ ðɪ ˌɪndɪskɹˈɪmᵻnət ɐsˌoʊsɪˈeɪʃən; ðə ɡˈæmblɪŋ, dɹˈɪŋkɪŋ, smˈoʊkɪŋ, kwˈɔːɹəlɪŋ ɪnðə dʒˈeɪl;|dʒˈʌstᵻfˌaɪd ðɪ ɚɹˈɪdʒɪnəl ˌælɪɡˈeɪʃənz. ɪt wʌz ɪmpˈɑːsᵻbəl tə dᵻnˈaɪ ðɪ ˌɪndɪskɹˈɪmᵻnət ɐsˌoʊsɪˈeɪʃən; ðə ɡˈæmblɪŋ, dɹˈɪŋkɪŋ, smˈoʊkɪŋ, kwˈɔːɹəlɪŋ ɪnðə dʒˈeɪl;
00592|LJSpeech|wʌz fɹˈiːkwəntli ɐdʒˈʌdʒd fɔːɹ sˌoʊkˈɔːld lˈaɪbəlz, ɔːɹ tˈuː ˈaʊtspˈoʊkən kˈɑːmɛnts ɪn pɹˈɪnt.|wʌz fɹˈiːkwəntli ɐdʒˈʌdʒd fɔːɹ sˌoʊkˈɔːld lˈaɪbəlz, ɔːɹ tˈuː ˈaʊtspˈoʊkən kˈɑːmɛnts ɪn pɹˈɪnt.
01593|LJSpeech|ðə pˈʌnɪʃmənts hiː ɪnflˈɪktᵻd wɜːɹ ʌnˈiːkwəl,|ðə pˈʌnɪʃmənts hiː ɪnflˈɪktᵻd wɜːɹ ʌnˈiːkwəl,
01430|LJSpeech|bˌʌt hiː wʊd nˌɑːt ˈɑːɹm ðˌɛm wɪð ˌɛni ɐθˈɔːɹɪɾi lˈɛst ðɛɹ koʊˈɑːpɚɹˈeɪʃən mˌaɪt biː əfˈɛnsɪv.|bˌʌt hiː wʊd nˌɑːt ˈɑːɹm ðˌɛm wɪð ˌɛni ɐθˈɔːɹɪɾi lˈɛst ðɛɹ koʊˈɑːpɚɹˈeɪʃən mˌaɪt biː əfˈɛnsɪv.
00360|LJSpeech|nˈiːld ɡˈɪvz ɐ lˈɪst ʌvðə vˈɛɹiəs ˈaɪɾəmz tʃˈɑːɹdʒd əpˌɑːn ɐ dˈɛt ʌv tˈɛn pˈaʊndz, wˌɪtʃ ɪŋklˈuːdᵻd ɪnstɹˈʌkʃənz tə sˈuː,|nˈiːld ɡˈɪvz ɐ lˈɪst ʌvðə vˈɛɹiəs ˈaɪɾəmz tʃˈɑːɹdʒd əpˌɑːn ɐ dˈɛt ʌv tˈɛn pˈaʊndz, wˌɪtʃ ɪŋklˈuːdᵻd ɪnstɹˈʌkʃənz tə sˈuː,
01242|LJSpeech|mˈoʊst əv ðə lˈoʊkəl ɐθˈɔːɹɪɾiz ɛmbˈɑːɹkt ˌɪntʊ kənsˈɪdɚɹəbəl ɛkspˈɛndɪtʃɚ, dɪtˈɜːmɪnd tə ɹᵻbˈɪld ðɛɹ dʒˈeɪlz də nˈoʊvoʊ ɔnðə mˈoʊst ɐpɹˈuːvd pˈætɚn,|mˈoʊst əv ðə lˈoʊkəl ɐθˈɔːɹɪɾiz ɛmbˈɑːɹkt ˌɪntʊ kənsˈɪdɚɹəbəl ɛkspˈɛndɪtʃɚ, dɪtˈɜːmɪnd tə ɹᵻbˈɪld ðɛɹ dʒˈeɪlz də nˈoʊvoʊ ɔnðə mˈoʊst ɐpɹˈuːvd pˈætɚn,
01557|LJSpeech|ˈɛvɪdəns wʌz ɡˈɪvən bᵻfˌoːɹ ðɪ ɪnspˈɛktɚz ʌv ˈeɪt ɔːɹ tˈɛn pɹˈɪzənɚz sˈiːn "ɡˈɪdi dɹˈʌŋk, nˌɑːt ˈeɪbəl tə sˈɪt əpˌɑːn fˈɔːɹmz."|ˈɛvɪdəns wʌz ɡˈɪvən bᵻfˌoːɹ ðɪ ɪnspˈɛktɚz ʌv ˈeɪt ɔːɹ tˈɛn pɹˈɪzənɚz sˈiːn "ɡˈɪdi dɹˈʌŋk, nˌɑːt ˈeɪbəl tə sˈɪt əpˌɑːn fˈɔːɹmz."
00349|LJSpeech|bˈɜːd wʌz, haʊˈɛvɚ, dɪstʃˈɑːɹdʒd wɪðˌɪn θɹˈiː dˈeɪz baɪ ɐ sʌbskɹˈɪpʃən ɹˈeɪzd ɐmˌʌŋ hɪz fˈɛloʊpɹˈɪzənɚz.|bˈɜːd wʌz, haʊˈɛvɚ, dɪstʃˈɑːɹdʒd wɪðˌɪn θɹˈiː dˈeɪz baɪ ɐ sʌbskɹˈɪpʃən ɹˈeɪzd ɐmˌʌŋ hɪz fˈɛloʊpɹˈɪzənɚz.
00271|LJSpeech|ðeɪ wɜː lˈaɪɾᵻd baɪ ɐ dˈʌbəlɡɹˈeɪɾᵻd wˈɪndoʊ tˈuː fˈiːt nˈaɪn ˈɪntʃᵻz baɪ fˈoːɹtiːn ˈɪntʃᵻz; ænd ɪnðə dˈoːɹz, wˌɪtʃ wɜː fˈoːɹ ˈɪntʃᵻz θˈɪk,|ðeɪ wɜː lˈaɪɾᵻd baɪ ɐ dˈʌbəlɡɹˈeɪɾᵻd wˈɪndoʊ tˈuː fˈiːt nˈaɪn ˈɪntʃᵻz baɪ fˈoːɹtiːn ˈɪntʃᵻz; ænd ɪnðə dˈoːɹz, wˌɪtʃ wɜː fˈoːɹ ˈɪntʃᵻz θˈɪk,
00078|LJSpeech|kˈæslɑːnz tˈaɪp ɪz klˈɪɹ ænd nˈiːt, ænd fˈɛɹli wˈɛl dɪzˈaɪnd;|kˈæslɑːnz tˈaɪp ɪz klˈɪɹ ænd nˈiːt, ænd fˈɛɹli wˈɛl dɪzˈaɪnd;
01675|LJSpeech|bˌʌt ðɪ ɪnspˈɛktɚz fˈaʊnd ɪnðə wˈɔːɹd kˈʌbədz mˈɪnspˈaɪz ænd ˈʌðɚ pˈæstiz, kˈoʊld dʒˈɔɪnts, hˈæmz, ænd sˌoʊ fˈɔːɹθ.|bˌʌt ðɪ ɪnspˈɛktɚz fˈaʊnd ɪnðə wˈɔːɹd kˈʌbədz mˈɪnspˈaɪz ænd ˈʌðɚ pˈæstiz, kˈoʊld dʒˈɔɪnts, hˈæmz, ænd sˌoʊ fˈɔːɹθ.
00045|LJSpeech|ðɛɹ tˈaɪp ɪz ɔnðə lˈaɪnz ʌvðə dʒˈɜːmən ænd fɹˈɛntʃ ɹˈæðɚ ðɐn ʌvðə ɹˈoʊmən pɹˈɪntɚz.|ðɛɹ tˈaɪp ɪz ɔnðə lˈaɪnz ʌvðə dʒˈɜːmən ænd fɹˈɛntʃ ɹˈæðɚ ðɐn ʌvðə ɹˈoʊmən pɹˈɪntɚz.
00782|LJSpeech|ɐnˈʌðɚ fɹˈaɪtfəl kˈɑːnsɪkwəns ʌv ðɪs ˌɪndɪskɹˈɪmᵻnət ɐdmˈɪʃən wʌzðɪ ˈɪnflʌks ʌv nˈʌmbɚz ʌv ɐbˈændənd wˈɪmɪn,|ɐnˈʌðɚ fɹˈaɪtfəl kˈɑːnsɪkwəns ʌv ðɪs ˌɪndɪskɹˈɪmᵻnət ɐdmˈɪʃən wʌzðɪ ˈɪnflʌks ʌv nˈʌmbɚz ʌv ɐbˈændənd wˈɪmɪn,
00939|LJSpeech|ðə kˌɑːnsɚvˈeɪʃən ʌv hɪz hˈɛlθ ænd ɪndˈʌstɹiəs hˈæbɪts, ɑːɹ ðə klˈɪɹ, ˈɛvɪdənt, ˌʌndɪnˈaɪəbəl ɹˈaɪts əvən ʌŋkənvˈɪktᵻd pɹˈɪzənɚ."|ðə kˌɑːnsɚvˈeɪʃən ʌv hɪz hˈɛlθ ænd ɪndˈʌstɹiəs hˈæbɪts, ɑːɹ ðə klˈɪɹ, ˈɛvɪdənt, ˌʌndɪnˈaɪəbəl ɹˈaɪts əvən ʌŋkənvˈɪktᵻd pɹˈɪzənɚ."
01491|LJSpeech|hiː wʌz ʌnˈeɪbəl tə ɡˈɪv ˌɛni ɹˈiːzən wʌtˈɛvɚ fɔːɹ nˌɑːt jˈuːɾɪlˌaɪzɪŋ ðə hˈoʊl ʌvðə wˈɔːɹdz.|hiː wʌz ʌnˈeɪbəl tə ɡˈɪv ˌɛni ɹˈiːzən wʌtˈɛvɚ fɔːɹ nˌɑːt jˈuːɾɪlˌaɪzɪŋ ðə hˈoʊl ʌvðə wˈɔːɹdz.
01508|LJSpeech|ðɛɹ tɹˈiːtmənt wʌz ˈɔːlsoʊ ɐ mˈæɾɚɹ ʌv tʃˈæns. ðeɪ stˈɪl slˈɛpt ˌɔn ɹˈoʊp mˈæts ɔnðə flˈoːɹ, hˈɜːdᵻd təɡˌɛðɚɹ ɪn kˈʌmpəniz ʌv fˈoːɹ ɔːɹ mˈoːɹ tə kˈiːp wˈʌn ɐnˈʌðɚ wˈɔːɹm|ðɛɹ tɹˈiːtmənt wʌz ˈɔːlsoʊ ɐ mˈæɾɚɹ ʌv tʃˈæns. ðeɪ stˈɪl slˈɛpt ˌɔn ɹˈoʊp mˈæts ɔnðə flˈoːɹ, hˈɜːdᵻd təɡˌɛðɚɹ ɪn kˈʌmpəniz ʌv fˈoːɹ ɔːɹ mˈoːɹ tə kˈiːp wˈʌn ɐnˈʌðɚ wˈɔːɹm
00686|LJSpeech|ɔːɹ ðə dˈɛɹɪŋ ɹᵻpˈoːɹɾɚɹ ʌv pˌɑːɹləmˈɛntɚɹi dᵻbˈeɪts.|ɔːɹ ðə dˈɛɹɪŋ ɹᵻpˈoːɹɾɚɹ ʌv pˌɑːɹləmˈɛntɚɹi dᵻbˈeɪts.
01718|LJSpeech|ðɪs wˈʊmən wʌz ɹˈiəli hɪz sˈɜːvənt, ɛmplˈɔɪd tə hˈɛlp ɪn klˈiːnɪŋ, ænd tˈeɪkən ˌɔn wɛnˌɛvɚ ðɛɹwˌʌz ˈɛkstɹə wˈɜːk təbi dˈʌn.|ðɪs wˈʊmən wʌz ɹˈiəli hɪz sˈɜːvənt, ɛmplˈɔɪd tə hˈɛlp ɪn klˈiːnɪŋ, ænd tˈeɪkən ˌɔn wɛnˌɛvɚ ðɛɹwˌʌz ˈɛkstɹə wˈɜːk təbi dˈʌn.
00676|LJSpeech|ˈɑːɹɾɪsənz ænd ˈʌðɚz wɜːɹ æt lˈɪbɚɾi tə wˈɜːk æt ðɛɹ tɹˈeɪdz, pɹəvˈaɪdᵻd ðeɪ wɜː nˌɑːt dˈeɪndʒɚɹəs.|ˈɑːɹɾɪsənz ænd ˈʌðɚz wɜːɹ æt lˈɪbɚɾi tə wˈɜːk æt ðɛɹ tɹˈeɪdz, pɹəvˈaɪdᵻd ðeɪ wɜː nˌɑːt dˈeɪndʒɚɹəs.
02002|LJSpeech|ðə skˈæfoʊld hˈʌŋ wɪð blˈæk; ænd ðɪ ɪnhˈæbɪtənts ʌvðə nˈeɪbɚhˌʊd, hˌævɪŋ pətˈɪʃənd ðə ʃˈɛɹɪfs tə ɹᵻmˈuːv ðə sˈiːn ʌv ˌɛksɪkjˈuːʃən tə ðɪ ˈoʊld plˈeɪs,|ðə skˈæfoʊld hˈʌŋ wɪð blˈæk; ænd ðɪ ɪnhˈæbɪtənts ʌvðə nˈeɪbɚhˌʊd, hˌævɪŋ pətˈɪʃənd ðə ʃˈɛɹɪfs tə ɹᵻmˈuːv ðə sˈiːn ʌv ˌɛksɪkjˈuːʃən tə ðɪ ˈoʊld plˈeɪs,
01831|LJSpeech|pˈɪlɡɹɪm ænd dˈeɪsənt wɜː kˈɔːt ænd ɡˈɪvən ˌɪntʊ ðə kˈʌstədi ʌvðə sˈɑːɹdʒəntæɾˈɑːɹmz, ænd ðə ɹˈɛst wɜːɹ ˈiːðɚɹ ɚɹˈɛstᵻd ɔːɹ ðeɪ sɚɹˈɛndɚd.|pˈɪlɡɹɪm ænd dˈeɪsənt wɜː kˈɔːt ænd ɡˈɪvən ˌɪntʊ ðə kˈʌstədi ʌvðə sˈɑːɹdʒəntæɾˈɑːɹmz, ænd ðə ɹˈɛst wɜːɹ ˈiːðɚɹ ɚɹˈɛstᵻd ɔːɹ ðeɪ sɚɹˈɛndɚd.
01522|LJSpeech|ænd nˌɑːt wɪð wˈeɪts ænd mˈɛʒɚz, nˈoʊ tˈɜːŋkiː bˌiːɪŋ pɹˈɛzənt.|ænd nˌɑːt wɪð wˈeɪts ænd mˈɛʒɚz, nˈoʊ tˈɜːŋkiː bˌiːɪŋ pɹˈɛzənt.
00850|LJSpeech|ɪn kˈɑːmən dʒˈʌstɪs tə ðˌɛm, ɪt mˈʌst biː ɐdmˈɪɾᵻd ðæt ɪmˈiːdɪət ɪfˈɛkt wʌz ɡˈɪvən tʊ ˈɔːl ðæt kʊd biː ˈiːzili kˈæɹid ˈaʊt.|ɪn kˈɑːmən dʒˈʌstɪs tə ðˌɛm, ɪt mˈʌst biː ɐdmˈɪɾᵻd ðæt ɪmˈiːdɪət ɪfˈɛkt wʌz ɡˈɪvən tʊ ˈɔːl ðæt kʊd biː ˈiːzili kˈæɹid ˈaʊt.
00663|LJSpeech|fˈɛlənz hˌuː kʊd pˈeɪ ðə pɹˈaɪs wɜː pɚmˈɪɾᵻd, ɪɹᵻspˈɛktɪv ʌv ðɛɹ kˈæɹɪktɚ ɔːɹ əfˈɛnsᵻz,|fˈɛlənz hˌuː kʊd pˈeɪ ðə pɹˈaɪs wɜː pɚmˈɪɾᵻd, ɪɹᵻspˈɛktɪv ʌv ðɛɹ kˈæɹɪktɚ ɔːɹ əfˈɛnsᵻz,
00789|LJSpeech|kˈɛpt ˈoʊpən hˈaʊs, sˌoʊ tə spˈiːk, ænd ˌɛntɚtˈeɪnd dˈeɪli wɪðˌɪn ðə wˈɔːlz ɐ sᵻlˈɛkt pˈɑːɹɾi ʌvðə mˈoʊst nˈoʊɾᵻd θˈiːvz ɪn lˈʌndən.|kˈɛpt ˈoʊpən hˈaʊs, sˌoʊ tə spˈiːk, ænd ˌɛntɚtˈeɪnd dˈeɪli wɪðˌɪn ðə wˈɔːlz ɐ sᵻlˈɛkt pˈɑːɹɾi ʌvðə mˈoʊst nˈoʊɾᵻd θˈiːvz ɪn lˈʌndən.
01311|LJSpeech|ˈɔːl dᵻskɹˈɪpʃənz ʌv əfˈɛndɚz kˈɑːŋɡɹɪɡˌeɪɾᵻd təɡˌɛðɚɹ ɪnðə fˈɛlənz wˈɔːɹdz.|ˈɔːl dᵻskɹˈɪpʃənz ʌv əfˈɛndɚz kˈɑːŋɡɹɪɡˌeɪɾᵻd təɡˌɛðɚɹ ɪnðə fˈɛlənz wˈɔːɹdz.
